Name,MP,Area,County,Electorate,CON,LAB,LIB,Brexit,Green,NAT,MIN,OTH,CON_Percentage,LAB_Percentage,LIB_Percentage,Brexit_Percentage,Green_Percentage,NAT_Percentage,MIN_Percentage,OTH_Percentage,Winner
Bootle,Peter Dowd,4,Merseyside,74832,4510,39066,1822,2610,1166,0,0,0,0.060268334,0.522049391,0.024347873,0.034878127,0.015581569,0.0,0.0,0.0,LAB
Boston and Skegness,Matt Warman,8,Lincolnshire,69381,31963,6342,1963,0,0,0,0,1428,0.460688085,0.091408311,0.028293049,0.0,0.0,0.0,0.0,0.020582004,CON
Bosworth,Luke Evans,8,Leicestershire,81542,36056,9778,9096,0,1502,0,0,0,0.442177038,0.119913664,0.111549876,0.0,0.018419955,0.0,0.0,0.0,CON
Bournemouth East,Tobias Ellwood,10,Dorset,74125,24926,16120,5418,0,2049,0,0,761,0.336269815,0.217470489,0.073092749,0.0,0.027642496,0.0,0.0,0.010266442,CON
Bournemouth West,Conor Burns,10,Dorset,74205,24550,14400,4931,0,2096,0,0,0,0.33084024,0.194057004,0.066451048,0.0,0.028246075,0.0,0.0,0.0,CON
Bracknell,James Sunderland,12,Berkshire,78978,31894,12065,7749,0,2089,0,0,553,0.403833979,0.152764061,0.098115931,0.0,0.026450404,0.0,0.0,0.00700195,CON
Bradford East,Imran Hussain,5,West Yorkshire,73206,9681,27825,3316,2700,662,0,0,0,0.132243259,0.380091796,0.045296834,0.036882223,0.009042975,0.0,0.0,0.0,LAB
Bradford South,Judith Cummins,5,West Yorkshire,69046,16044,18390,1505,2819,983,0,0,0,0.232366828,0.266344176,0.021797063,0.040827854,0.014236886,0.0,0.0,0.0,LAB
Bradford West,Naz Shah,5,West Yorkshire,70694,6717,33736,1349,1556,813,0,0,90,0.095015136,0.477211645,0.019082242,0.022010354,0.011500269,0.0,0.0,0.001273092,LAB
Braintree,James Cleverly,9,Essex,75208,34112,9439,4779,0,0,0,0,2169,0.453568769,0.125505265,0.063543772,0.0,0.0,0.0,0.0,0.028840017,CON
Brent Central,Dawn Butler,11,Brent,84032,10909,31779,4844,0,1600,0,0,0,0.129819593,0.378177361,0.057644707,0.0,0.019040366,0.0,0.0,0.0,LAB
Brent North,Barry Gardiner,11,Brent,83788,18832,26911,4065,951,850,0,0,270,0.224757722,0.321179644,0.048515301,0.011350074,0.010144651,0.0,0.0,0.003222418,LAB
Brentford and Isleworth,Ruth Cadbury,11,Hounslow,85775,18752,29266,7314,1165,1829,0,0,0,0.218618479,0.341194987,0.085269601,0.013582046,0.021323229,0.0,0.0,0.0,LAB
Brentwood and Ongar,Alex Burghart,9,Essex,75255,36308,7243,7187,0,1679,0,0,532,0.482466281,0.096246097,0.09550196,0.0,0.02231081,0.0,0.0,0.007069298,CON
Bridgwater and West Somerset,Ian Liddell-Grainger,10,Somerset,85327,35827,11388,7805,0,1877,0,0,755,0.419878819,0.13346303,0.091471633,0.0,0.021997726,0.0,0.0,0.008848313,CON
Brigg and Goole,Andrew Percy,5,Humber area,65939,30941,9000,2180,0,1281,0,0,0,0.469236719,0.136489786,0.033060859,0.0,0.019427046,0.0,0.0,0.0,CON
Brighton Kemptown,Lloyd Russell-Moyle,12,East Sussex,69833,16972,25033,2964,1327,2237,0,0,0,0.24303696,0.358469492,0.042444117,0.019002477,0.032033566,0.0,0.0,0.0,LAB
Brighton Pavilion,Caroline Lucas,12,East Sussex,79057,10176,13211,0,770,33151,0,0,690,0.128717255,0.167107277,0.0,0.009739808,0.419330357,0.0,0.0,0.00872788,Green
Bristol East,Kerry McCarthy,10,Bristol area,73867,16923,27717,3527,1881,2106,0,0,0,0.229100952,0.375228451,0.047747979,0.025464687,0.028510702,0.0,0.0,0.0,LAB
Bristol North West,Darren Jones,10,Bristol area,76273,21638,27330,4940,0,1977,0,0,0,0.283691477,0.358318147,0.064767349,0.0,0.02592005,0.0,0.0,0.0,LAB
Bristol South,Karin Smyth,10,Bristol area,84079,18036,27895,4227,2325,2713,0,0,0,0.214512542,0.33177131,0.050274147,0.027652565,0.032267272,0.0,0.0,0.0,LAB
Bristol West,Thangam Debbonaire,10,Bristol area,99253,8822,47028,0,869,18809,0,0,0,0.088883963,0.473819431,0.0,0.008755403,0.189505607,0.0,0.0,0.0,LAB
Broadland,Jerome Mayhew,9,Norfolk,78151,33934,12073,9195,0,1412,0,0,363,0.434210695,0.154482988,0.117656844,0.0,0.018067587,0.0,0.0,0.004644854,CON
Bromley and Chislehurst,Bob Neill,11,Bromley,66697,23958,13067,6621,0,1546,0,0,374,0.359206561,0.195915858,0.099269832,0.0,0.023179453,0.0,0.0,0.005607449,CON
Bromsgrove,Sajid Javid,7,Hereford and Worcestershire,75078,34408,11302,6779,0,1783,0,0,0,0.458296705,0.150536775,0.090292762,0.0,0.023748635,0.0,0.0,0.0,CON
Broxbourne,Charles Walker,9,Hertfordshire,73182,30631,10824,3970,0,1281,0,0,0,0.418559209,0.147905223,0.054248312,0.0,0.017504304,0.0,0.0,0.0,CON
Broxtowe,Darren Henry,8,Nottinghamshire,73052,26602,21271,0,0,1806,0,4668,925,0.364151563,0.291176148,0.0,0.0,0.024722116,0.0,0.063899688,0.012662213,CON
Buckingham,Greg Smith,12,Buckinghamshire,83146,37035,7638,16624,1286,0,0,0,875,0.445421307,0.091862507,0.199937459,0.015466769,0.0,0.0,0.0,0.010523657,CON
Burnley,Antony Higginbotham,4,Lancashire,64345,15720,14368,3501,3362,739,0,0,1294,0.244308027,0.223296293,0.054409822,0.052249592,0.011484964,0.0,0.0,0.020110343,CON
Burton,Kate Griffiths,7,Staffordshire,75036,29560,15064,2681,0,1433,0,0,0,0.39394424,0.20075697,0.035729516,0.0,0.0190975,0.0,0.0,0.0,CON
Bury North,James Daly,4,Western Manchester,68802,21660,21555,1584,1240,802,0,0,0,0.31481643,0.313290311,0.023022587,0.018022732,0.011656638,0.0,0.0,0.0,CON
Bury South,Christian Wakeford,4,Western Manchester,75152,22034,21632,2315,1672,848,0,0,1773,0.293192463,0.287843304,0.030804237,0.022248244,0.011283798,0.0,0.0,0.023592187,CON
Bury St Edmunds,Jo Churchill,9,Suffolk,89644,37770,12782,0,0,9711,0,0,1694,0.421333274,0.14258623,0.0,0.0,0.108328499,0.0,0.0,0.01889697,CON
Calder Valley,Craig Whittaker,5,West Yorkshire,79287,29981,24207,2884,0,0,0,0,721,0.378132607,0.305308563,0.036374185,0.0,0.0,0.0,0.0,0.009093546,CON
Camberwell and Peckham,Harriet Harman,11,Southwark,88971,6478,40258,5087,1041,3501,0,0,127,0.072810242,0.452484517,0.057175934,0.011700442,0.039349901,0.0,0.0,0.001427431,LAB
Camborne and Redruth,George Eustice,10,Cornwall,70250,26764,18064,3504,0,1359,0,0,676,0.380982206,0.25713879,0.049879004,0.0,0.019345196,0.0,0.0,0.009622776,CON
Cambridge,Daniel Zeichner,9,Cambridgeshire,79951,8342,25776,16137,1041,2164,0,0,269,0.104338908,0.322397468,0.201836125,0.013020475,0.027066578,0.0,0.0,0.003364561,LAB
Cambridgeshire North East,Steve Barclay,9,Cambridgeshire,83699,38423,8430,4298,0,1813,0,0,0,0.459061638,0.100718049,0.051350673,0.0,0.021660952,0.0,0.0,0.0,CON
Cambridgeshire North West,Shailesh Vara,9,Cambridgeshire,94909,40307,14324,6881,0,3021,0,0,0,0.42469102,0.150923516,0.072501027,0.0,0.03183049,0.0,0.0,0.0,CON
Cambridgeshire South,Anthony Browne,9,Cambridgeshire,87288,31015,7803,28111,0,0,0,0,0,0.355318028,0.089393731,0.32204885,0.0,0.0,0.0,0.0,0.0,CON
Cambridgeshire South East,Lucy Frazer,9,Cambridgeshire,86769,32187,10492,20697,0,0,0,0,1009,0.370950455,0.120918761,0.23852989,0.0,0.0,0.0,0.0,0.011628577,CON
Cannock Chase,Amanda Milling,7,Staffordshire,74813,31636,11757,0,0,2920,0,0,0,0.422867683,0.157151832,0.0,0.0,0.03903065,0.0,0.0,0.0,CON
Canterbury,Rosie Duffield,12,Kent,80203,27182,29018,3408,0,0,0,0,505,0.338915003,0.361806915,0.042492176,0.0,0.0,0.0,0.0,0.006296523,LAB
Carlisle,John Stevenson,4,Cumbria,65105,23659,15340,2829,0,0,0,0,1045,0.363397589,0.235619384,0.043452884,0.0,0.0,0.0,0.0,0.016050995,CON
Carshalton and Wallington,Elliot Colburn,11,Sutton,72941,20822,6081,20193,1043,759,0,0,200,0.285463594,0.08336875,0.276840186,0.014299228,0.01040567,0.0,0.0,0.002741942,CON
Castle Point,Rebecca Harris,9,Essex,69608,33971,7337,2969,0,0,0,0,0,0.488032985,0.105404551,0.042653143,0.0,0.0,0.0,0.0,0.0,CON
Charnwood,Edward Argar,8,Leicestershire,79534,35121,12724,4856,0,2664,0,0,0,0.441584731,0.159981895,0.061055649,0.0,0.033495109,0.0,0.0,0.0,CON
Chatham and Aylesford,Tracey Crouch,12,Kent,71642,28856,10316,2866,0,1090,0,0,212,0.402780492,0.143993747,0.040004467,0.0,0.015214539,0.0,0.0,0.002959158,CON
Cheadle,Mary Robinson,4,Eastern Manchester,74577,25694,6851,23358,0,0,0,0,0,0.344529815,0.091864784,0.313206485,0.0,0.0,0.0,0.0,0.0,CON
Chelmsford,Vicky Ford,9,Essex,80394,31934,10295,14313,0,0,0,0,580,0.397218698,0.12805682,0.178035674,0.0,0.0,0.0,0.0,0.007214469,CON
Chelsea and Fulham,Greg Hands,11,Hammersmith and Fulham,67110,23345,10872,12104,0,0,0,0,500,0.34786172,0.162002682,0.180360602,0.0,0.0,0.0,0.0,0.007450454,CON
Cheltenham,Alex Chalk,10,Gloucestershire,81044,28486,2921,27505,0,0,0,0,445,0.351488081,0.03604215,0.339383545,0.0,0.0,0.0,0.0,0.005490844,CON
Chesham and Amersham,Cheryl Gillan,12,Buckinghamshire,72542,30850,7166,14627,0,3042,0,0,0,0.425270878,0.098784153,0.201634915,0.0,0.041934328,0.0,0.0,0.0,CON
"Chester,  City of",Chris Matheson,4,Cheshire,76057,20918,27082,3734,1388,1438,0,0,0,0.275030569,0.356075049,0.049094758,0.018249471,0.018906872,0.0,0.0,0.0,LAB
Chesterfield,Toby Perkins,8,Derbyshire,71034,16720,18171,3985,4771,1148,0,0,391,0.23538024,0.255807078,0.056099896,0.06716502,0.016161275,0.0,0.0,0.005504406,LAB
Chichester,Gillian Keegan,12,West Sussex,85499,35402,9069,13912,0,2527,0,0,333,0.414063322,0.106071416,0.162715353,0.0,0.029555901,0.0,0.0,0.003894782,CON
Chingford and Woodford Green,Iain Duncan Smith,11,Waltham Forest,65393,23481,22219,2744,0,0,0,0,0,0.35907513,0.339776429,0.041961678,0.0,0.0,0.0,0.0,0.0,CON
Chippenham,Michelle Donelan,10,Wiltshire,77221,30994,6399,19706,0,0,0,0,0,0.401367504,0.08286606,0.25518965,0.0,0.0,0.0,0.0,0.0,CON
Chipping Barnet,Theresa Villiers,11,Barnet,79960,25745,24533,5932,0,1288,0,0,71,0.321973487,0.306815908,0.074187094,0.0,0.016108054,0.0,0.0,0.000887944,CON
Chorley,Lindsay Hoyle,4,Lancashire,78177,0,26831,0,0,3600,0,9439,0,0.0,0.343208361,0.0,0.0,0.04604935,0.0,0.120738836,0.0,LAB
Christchurch,Christopher Chope,10,Dorset,71520,33894,6568,9277,0,2212,0,0,0,0.473909396,0.091834452,0.129711969,0.0,0.030928412,0.0,0.0,0.0,CON
Cities of London and Westminster,Nickie Aiken,11,City of Westminster,63700,17049,11624,13096,0,728,0,0,226,0.267645212,0.182480377,0.205588697,0.0,0.011428571,0.0,0.0,0.003547881,CON
Clacton,Giles Watling,9,Essex,70930,31438,6736,2541,0,1225,0,0,1566,0.443225715,0.094966869,0.035824052,0.0,0.017270548,0.0,0.0,0.022078105,CON
Cleethorpes,Martin Vickers,5,Humber area,73689,31969,10551,2535,0,1284,0,0,0,0.433836801,0.143182836,0.034401335,0.0,0.017424582,0.0,0.0,0.0,CON
Colchester,Will Quince,9,Essex,82625,26917,17494,7432,0,1530,0,0,0,0.325773071,0.211727685,0.089948563,0.0,0.018517398,0.0,0.0,0.0,CON
Colne Valley,Jason McCartney,5,West Yorkshire,84174,29482,24379,3815,1268,1068,0,0,880,0.350250671,0.28962625,0.045322784,0.015064034,0.012688003,0.0,0.0,0.010454535,CON
Congleton,Fiona Bruce,4,Cheshire,80930,33747,15186,6026,0,1616,0,0,658,0.416989991,0.187643643,0.074459409,0.0,0.019967873,0.0,0.0,0.008130483,CON
Copeland,Trudy Harrison,4,Cumbria,61693,22856,17014,1888,0,765,0,0,0,0.370479633,0.275784935,0.030603148,0.0,0.01240011,0.0,0.0,0.0,CON
Corby,Tom Pursglove,8,Northamptonshire,86153,33410,23142,3923,0,0,0,0,0,0.387798452,0.268615138,0.045535269,0.0,0.0,0.0,0.0,0.0,CON
Cornwall North,Scott Mann,10,Cornwall,69935,30671,4516,15919,0,0,0,0,572,0.438564381,0.064574248,0.227625652,0.0,0.0,0.0,0.0,0.008179023,CON
Cornwall South East,Sheryll Murray,10,Cornwall,71825,31807,10836,8650,0,1493,0,0,869,0.442840237,0.15086669,0.120431605,0.0,0.020786634,0.0,0.0,0.012098851,CON
"Cotswolds,  The",Geoffrey Clifton-Brown,10,Gloucestershire,81939,35484,7110,15270,0,3312,0,0,0,0.433053857,0.086771867,0.186358144,0.0,0.040420313,0.0,0.0,0.0,CON
Coventry North East,Colleen Fletcher,7,Coventry and Solihull,76006,15720,23412,2061,2110,1141,0,0,0,0.206825777,0.308028314,0.02711628,0.027760966,0.015011973,0.0,0.0,0.0,LAB
Coventry North West,Taiwo Owatemi,7,Coventry and Solihull,75247,20710,20918,2717,1956,1443,0,0,0,0.275226919,0.277991149,0.036107752,0.025994392,0.019176844,0.0,0.0,0.0,LAB
Coventry South,Zarah Sultana,7,Coventry and Solihull,70979,19143,19544,3398,1432,1092,0,0,435,0.269699489,0.275349047,0.047873315,0.020174981,0.015384832,0.0,0.0,0.006128573,LAB
Crawley,Henry Smith,12,West Sussex,74207,27040,18680,2728,0,1451,0,0,0,0.364386109,0.251728274,0.036762031,0.0,0.019553411,0.0,0.0,0.0,CON
Crewe and Nantwich,Kieran Mullan,4,Cheshire,80321,28704,20196,2618,1390,975,0,0,149,0.357366069,0.251441093,0.032594216,0.017305561,0.012138793,0.0,0.0,0.001855057,CON
Croydon Central,Sarah Jones,11,Croydon,81407,21175,27124,3532,999,1215,0,0,0,0.260112767,0.333190021,0.043386932,0.012271672,0.014925006,0.0,0.0,0.0,LAB
Croydon North,Steve Reed,11,Croydon,88468,11822,36495,4476,839,1629,0,0,348,0.133630239,0.412522042,0.050594565,0.009483655,0.018413438,0.0,0.0,0.003933626,LAB
Croydon South,Chris Philp,11,Croydon,83982,30985,18646,7503,0,1782,0,0,442,0.368948108,0.222023767,0.089340573,0.0,0.021218833,0.0,0.0,0.005263033,CON
Dagenham and Rainham,Jon Cruddas,11,Barking and Dagenham,71045,19175,19468,1182,2887,602,0,0,421,0.26989936,0.274023506,0.016637343,0.040636216,0.008473503,0.0,0.0,0.005925822,LAB
Darlington,Peter Gibson,3,Durham,66397,20901,17607,2097,1544,1057,0,0,292,0.314788319,0.265177644,0.031582752,0.023254063,0.015919394,0.0,0.0,0.004397789,CON
Dartford,Gareth Johnson,12,Kent,82209,34006,14846,3736,0,1435,0,0,0,0.413653006,0.1805885,0.045445146,0.0,0.01745551,0.0,0.0,0.0,CON
Daventry,Chris Heaton-Harris,8,Northamptonshire,77423,37055,10975,7032,0,2341,0,0,0,0.478604549,0.141753742,0.090825724,0.0,0.030236493,0.0,0.0,0.0,CON
Denton and Reddish,Andrew Gwynne,4,Eastern Manchester,66234,13142,19317,1642,3039,1124,0,0,324,0.198417731,0.291647794,0.024790893,0.045882779,0.016970136,0.0,0.0,0.004891747,LAB
Derby North,Amanda Solloway,8,Derbyshire,73199,21259,18719,3450,1908,1046,0,0,635,0.290427465,0.255727537,0.047131791,0.02606593,0.014289813,0.0,0.0,0.008674982,CON
Derby South,Margaret Beckett,8,Derbyshire,73062,15671,21690,2621,2480,0,0,0,0,0.214489064,0.296871151,0.035873642,0.033943774,0.0,0.0,0.0,0.0,LAB
Derbyshire Dales,Sarah Dines,8,Derbyshire,65080,29356,11975,6627,0,2058,0,0,0,0.451075599,0.184004302,0.101828519,0.0,0.031622618,0.0,0.0,0.0,CON
Derbyshire Mid,Pauline Latham,8,Derbyshire,67442,29027,13642,4756,0,1931,0,0,0,0.430399454,0.202277513,0.070519854,0.0,0.02863201,0.0,0.0,0.0,CON
Derbyshire North East,Lee Rowley,8,Derbyshire,72345,28897,16021,3021,0,1278,0,0,0,0.399433271,0.221452761,0.041758242,0.0,0.017665354,0.0,0.0,0.0,CON
Derbyshire South,Heather Wheeler,8,Derbyshire,79331,33502,14167,3924,0,1788,0,0,0,0.422306538,0.178580883,0.04946364,0.0,0.022538478,0.0,0.0,0.0,CON
Devizes,Danny Kruger,10,Wiltshire,73372,32150,7838,8157,0,2809,0,0,0,0.438178052,0.106825492,0.1111732,0.0,0.038284359,0.0,0.0,0.0,CON
Devon Central,Mel Stride,10,Devon,74926,32095,14374,8770,0,2833,0,0,0,0.428355978,0.191842618,0.117048822,0.0,0.03781064,0.0,0.0,0.0,CON
Devon East,Simon Jupp,10,Devon,87168,32577,2870,1771,0,711,0,25869,275,0.373726597,0.032924927,0.020317089,0.0,0.008156663,0.0,0.296771751,0.003154827,CON
Devon North,Selaine Saxby,10,Devon,75859,31479,5097,16666,0,1759,0,0,580,0.414967242,0.067190445,0.21969707,0.0,0.023187756,0.0,0.0,0.007645764,CON
Devon South West,Gary Streeter,10,Devon,72535,33286,11856,6207,0,2018,0,0,0,0.458895706,0.163452127,0.085572482,0.0,0.027821052,0.0,0.0,0.0,CON
Devon West and Torridge,Geoffrey Cox,10,Devon,80403,35904,10290,10912,0,2077,0,0,547,0.446550502,0.127980299,0.135716329,0.0,0.025832369,0.0,0.0,0.006803229,CON
Dewsbury,Mark Eastwood,5,West Yorkshire,81253,26179,24618,2406,1874,1060,0,0,252,0.322191181,0.302979582,0.029611214,0.023063764,0.013045672,0.0,0.0,0.003101424,CON
Don Valley,Nick Fletcher,5,South Yorkshire,75356,19609,15979,1907,6247,872,0,0,823,0.260218164,0.212046818,0.025306545,0.082899835,0.011571739,0.0,0.0,0.010921493,CON
Doncaster Central,Rosie Winterton,5,South Yorkshire,71389,14360,16638,1748,6842,981,0,0,1012,0.201151438,0.233061116,0.024485565,0.095841096,0.013741613,0.0,0.0,0.014175853,LAB
Doncaster North,Ed Miliband,5,South Yorkshire,72362,13370,15740,1476,8294,0,0,0,1818,0.184765485,0.217517482,0.020397446,0.11461817,0.0,0.0,0.0,0.025123684,LAB
Dorset Mid and Poole North,Michael Tomlinson,10,Dorset,65427,29548,3402,14650,0,1330,0,0,0,0.451617834,0.051996882,0.223913675,0.0,0.020327999,0.0,0.0,0.0,CON
Dorset North,Simon Hoare,10,Dorset,76765,35705,6737,11404,0,2261,0,0,0,0.465120823,0.08776135,0.148557285,0.0,0.029453527,0.0,0.0,0.0,CON
Dorset South,Richard Drax,10,Dorset,73809,30024,12871,5432,0,2246,0,0,485,0.406779661,0.174382528,0.073595361,0.0,0.030429893,0.0,0.0,0.006571014,CON
Dorset West,Chris Loder,10,Dorset,81897,33589,5729,19483,0,2124,0,0,0,0.410137123,0.069953722,0.237896382,0.0,0.025935016,0.0,0.0,0.0,CON
Dover,Natalie Elphicke,12,Kent,76355,28830,16552,2895,0,1371,0,0,1053,0.377578417,0.216776897,0.037915002,0.0,0.017955602,0.0,0.0,0.013790845,CON
Dudley North,Marco Longhi,7,Black Country,61936,23134,11601,1210,0,739,0,0,0,0.373514596,0.187306252,0.019536296,0.0,0.011931671,0.0,0.0,0.0,CON
Dudley South,Mike Wood,7,Black Country,60731,24835,9270,1608,0,863,0,0,0,0.408934482,0.152640332,0.026477417,0.0,0.014210206,0.0,0.0,0.0,CON
Dulwich and West Norwood,Helen Hayes,11,Lambeth,80331,9160,36521,0,571,9211,0,0,315,0.114028208,0.454631462,0.0,0.00710809,0.114663082,0.0,0.0,0.003921276,LAB
Durham North,Kevan Jones,3,Durham,66796,13897,18639,2879,4693,1126,0,0,961,0.20805138,0.279043655,0.043101383,0.070258698,0.016857297,0.0,0.0,0.014387089,LAB
Durham North West,Richard Holden,3,Durham,72166,19990,18846,2831,3193,1173,0,0,1630,0.277000249,0.261147909,0.039229,0.044245212,0.016254192,0.0,0.0,0.022586814,CON
"Durham,  City of",Mary Foy,3,Durham,71271,15506,20531,7935,3252,1635,0,0,0,0.217563946,0.288069481,0.111335606,0.045628657,0.022940607,0.0,0.0,0.0,LAB
Ealing Central and Acton,Rupa Huq,11,Ealing,75510,14832,28132,9444,664,1735,0,0,0,0.196424315,0.372559926,0.125069527,0.008793537,0.022977089,0.0,0.0,0.0,LAB
Ealing North,James Murray,11,Ealing,74473,15767,28036,4370,0,1458,0,0,0,0.211714313,0.376458582,0.058678984,0.0,0.019577565,0.0,0.0,0.0,LAB
Ealing Southall,Virendra Sharma,11,Ealing,64581,9594,25678,3933,867,1688,0,0,457,0.148557625,0.397609204,0.060900265,0.013425001,0.026137719,0.0,0.0,0.007076385,LAB
Easington,Grahame Morris,3,Durham,61182,9142,15723,1526,6744,0,0,0,1448,0.149423033,0.256987349,0.024941976,0.110228499,0.0,0.0,0.0,0.023667092,LAB
East Ham,Stephen Timms,11,Newham,88319,8527,41703,2158,1107,883,0,0,250,0.096547742,0.472186053,0.024434153,0.012534109,0.009997849,0.0,0.0,0.002830648,LAB
Eastbourne,Caroline Ansell,12,East Sussex,79307,26951,3848,22620,1530,0,0,0,185,0.339831289,0.048520307,0.285220725,0.019292118,0.0,0.0,0.0,0.002332707,CON
Eastleigh,Paul Holmes,12,Hampshire,83880,32690,7559,17083,0,1639,0,0,0,0.389723414,0.090116834,0.20365999,0.0,0.019539819,0.0,0.0,0.0,CON
Eddisbury,Edward Timpson,4,Cheshire,73700,30095,11652,9582,0,1191,0,0,451,0.40834464,0.158100407,0.130013569,0.0,0.016160109,0.0,0.0,0.006119403,CON
Edmonton,Kate Osamor,11,Enfield,65747,10202,26217,2145,840,862,0,0,75,0.155170578,0.398755837,0.032625063,0.012776248,0.013110864,0.0,0.0,0.001140736,LAB
Ellesmere Port and Neston,Justin Madders,4,Cheshire,70327,17237,26001,2406,2138,964,0,0,0,0.2450979,0.369715756,0.034211611,0.030400842,0.013707395,0.0,0.0,0.0,LAB
Elmet and Rothwell,Alec Shelbrooke,5,West Yorkshire,80957,33726,16373,5155,0,1775,0,0,1196,0.416591524,0.202243166,0.063675778,0.0,0.02192522,0.0,0.0,0.014773275,CON
Eltham,Clive Efford,11,Greenwich,64086,17353,20550,2941,1523,1322,0,0,0,0.270776769,0.320662859,0.045891458,0.023764941,0.02062853,0.0,0.0,0.0,LAB
Enfield North,Feryal Clark,11,Enfield,68301,16848,23340,2950,797,1115,0,0,0,0.246672816,0.341722669,0.043191169,0.011668936,0.016324798,0.0,0.0,0.0,LAB
Enfield Southgate,Bambos Charalambous,11,Enfield,65525,18473,22923,4344,494,1042,0,0,0,0.28192293,0.34983594,0.066295307,0.007539107,0.015902327,0.0,0.0,0.0,LAB
Epping Forest,Eleanor Laing,9,Essex,74304,32364,10191,5387,0,1975,0,0,351,0.435562016,0.137152778,0.072499462,0.0,0.026579996,0.0,0.0,0.004723837,CON
Epsom and Ewell,Chris Grayling,12,Surrey,81138,31819,10226,13946,0,2047,0,0,1413,0.392159038,0.126032192,0.171880007,0.0,0.025228623,0.0,0.0,0.017414775,CON
Erewash,Maggie Throup,8,Derbyshire,72523,27560,16954,2487,0,1115,0,0,698,0.380017374,0.233774113,0.034292569,0.0,0.015374433,0.0,0.0,0.009624533,CON
Erith and Thamesmead,Abena Oppong-Asare,11,Bexley,65399,16124,19882,1984,2246,876,0,0,272,0.246548112,0.304010765,0.030336855,0.034343033,0.0133947,0.0,0.0,0.004159085,LAB
Esher and Walton,Dominic Raab,12,Surrey,81184,31132,2838,28389,0,0,0,0,725,0.383474576,0.034957627,0.34968713,0.0,0.0,0.0,0.0,0.008930331,CON
Exeter,Ben Bradshaw,10,Devon,82054,19479,29882,0,1428,4838,0,0,565,0.237392449,0.364174812,0.0,0.017403174,0.058961172,0.0,0.0,0.006885709,LAB
Fareham,Suella Braverman,12,Hampshire,78337,36459,10373,8006,0,2412,0,0,0,0.465412257,0.132415078,0.102199472,0.0,0.030790048,0.0,0.0,0.0,CON
Faversham and Kent Mid,Helen Whately,12,Kent,73403,31864,9888,6170,0,2103,0,0,369,0.434096699,0.134708391,0.08405651,0.0,0.028650055,0.0,0.0,0.005027042,CON
Feltham and Heston,Seema Malhotra,11,Hounslow,80934,17017,24876,3127,1658,1133,0,0,0,0.210257741,0.307361554,0.03863642,0.020485828,0.013999061,0.0,0.0,0.0,LAB
Filton and Bradley Stoke,Jack Lopresti,10,Bristol area,74016,26293,20647,4992,0,1563,0,0,257,0.355234003,0.278953199,0.067444877,0.0,0.021117056,0.0,0.0,0.003472222,CON
Finchley and Golders Green,Mike Freer,11,Barnet,77573,24162,13347,17600,0,0,0,0,0,0.311474353,0.172057288,0.226883065,0.0,0.0,0.0,0.0,0.0,CON
Folkestone and Hythe,Damian Collins,12,Kent,88272,35483,14146,5755,0,2706,0,0,915,0.401973446,0.160254667,0.065196212,0.0,0.030655247,0.0,0.0,0.010365688,CON
Forest of Dean,Mark Harper,10,Gloucestershire,71438,30680,14811,0,0,4681,0,0,1303,0.429463311,0.207326633,0.0,0.0,0.065525351,0.0,0.0,0.018239592,CON
Fylde,Mark Menzies,4,Lancashire,66847,28432,11821,3748,0,1731,0,0,927,0.425329484,0.176836657,0.056068335,0.0,0.025894954,0.0,0.0,0.013867488,CON
Gainsborough,Edward Leigh,8,Lincolnshire,76343,33893,10926,5157,0,0,0,0,1070,0.443956879,0.143117247,0.067550398,0.0,0.0,0.0,0.0,0.014015692,CON
Garston and Halewood,Maria Eagle,4,Merseyside,76116,6954,38578,3324,2943,1183,0,0,344,0.091360555,0.506831678,0.043670188,0.03866467,0.015542067,0.0,0.0,0.004519418,LAB
Gateshead,Ian Mearns,3,Newcastle area,64449,13250,20450,2792,0,1653,0,0,0,0.205588915,0.317305156,0.043321076,0.0,0.025648187,0.0,0.0,0.0,LAB
Gedling,Tom Randall,8,Nottinghamshire,71366,22718,22039,2279,1820,1097,0,0,0,0.318330858,0.308816523,0.031933974,0.02550234,0.015371465,0.0,0.0,0.0,CON
Gillingham and Rainham,Rehman Chishti,12,Kent,73549,28173,13054,2503,0,1043,0,0,1185,0.383050755,0.177487117,0.034031734,0.0,0.014181022,0.0,0.0,0.016111708,CON
Gloucester,Richard Graham,10,Gloucestershire,80901,29159,18882,4338,0,1385,0,0,0,0.360428178,0.233396373,0.053621092,0.0,0.017119689,0.0,0.0,0.0,CON
Gosport,Caroline Dinenage,12,Hampshire,73541,32226,8948,5473,0,1806,0,0,0,0.438204539,0.121673624,0.074421071,0.0,0.02455773,0.0,0.0,0.0,CON
Grantham and Stamford,Gareth Davies,8,Lincolnshire,81502,36794,10791,6153,0,2265,0,0,0,0.451449044,0.132401659,0.07549508,0.0,0.027790729,0.0,0.0,0.0,CON
Gravesham,Adam Holloway,12,Kent,73242,29580,13999,2584,0,1397,0,0,0,0.403866634,0.191133503,0.035280304,0.0,0.019073755,0.0,0.0,0.0,CON
Great Grimsby,Lia Nici,5,Humber area,61409,18150,10819,1070,2378,514,0,0,156,0.295559283,0.176179387,0.017424156,0.038723966,0.008370109,0.0,0.0,0.002540344,CON
