Name,MP,Area,County,Electorate,CON,LAB,LIB,Brexit,Green,NAT,MIN,OTH,CON_Percentage,LAB_Percentage,LIB_Percentage,Brexit_Percentage,Green_Percentage,NAT_Percentage,MIN_Percentage,OTH_Percentage,Winner
Livingston,Hannah Bardell,2,Edinburgh area,82285,12182,11915,3457,0,1421,25617,0,0,0.148046424,0.144801604,0.042012517,0.0,0.017269247,0.311320411,0.0,0.0,NAT
Midlothian,Owen Thompson,2,Edinburgh area,70544,10467,14328,3393,0,0,20033,0,0,0.148375482,0.203107281,0.048097641,0.0,0.0,0.283978793,0.0,0.0,NAT
Moray,Douglas Ross,2,Grampian,71035,22112,2432,2269,0,0,21599,0,413,0.31128317,0.034236644,0.031942,0.0,0.0,0.304061378,0.0,0.005814035,CON
Motherwell and Wishaw,Marion Fellows,2,Glasgow area,68856,7150,14354,1675,0,0,20622,0,619,0.103839898,0.208464041,0.02432613,0.0,0.0,0.299494597,0.0,0.008989776,NAT
Na h-Eileanan An Iar (Western Isles),Angus MacNeil,2,Western Isles,21106,3216,4093,637,0,0,6531,0,0,0.152373733,0.193925898,0.030180991,0.0,0.0,0.309438074,0.0,0.0,NAT
Ochil and South Perthshire,John Nicolson,2,Tayside,78776,22384,4961,3204,0,0,26882,0,382,0.284147456,0.062976033,0.040672286,0.0,0.0,0.341246065,0.0,0.004849193,NAT
Orkney and Shetland,Alistair Carmichael,2,Orkney and Shetland,34211,2287,1550,10381,900,0,7874,0,168,0.066849844,0.045307065,0.303440414,0.026307328,0.0,0.23015989,0.0,0.004910701,LIB
Paisley and Renfrewshire North,Gavin Newlands,2,Glasgow area,72007,11217,11451,3661,0,0,23353,0,0,0.155776522,0.159026206,0.050842279,0.0,0.0,0.324315692,0.0,0.0,NAT
Paisley and Renfrewshire South,Mhairi Black,2,Glasgow area,64385,7571,10958,2918,0,0,21637,0,0,0.117589501,0.170194921,0.045321115,0.0,0.0,0.336056535,0.0,0.0,NAT
Perth and North Perthshire,Pete Wishart,2,Tayside,72600,19812,2471,3780,651,0,27362,0,0,0.272892562,0.034035813,0.052066116,0.008966942,0.0,0.376887052,0.0,0.0,NAT
Renfrewshire East,Kirsten Oswald,2,Glasgow area,72232,19451,6855,4174,0,0,24877,0,0,0.269285081,0.094902536,0.057786023,0.0,0.0,0.344404142,0.0,0.0,NAT
Ross Skye and Lochaber,Ian Blackford,2,Highland,54230,6900,2448,9820,710,0,19263,0,728,0.127235847,0.045141066,0.181080583,0.013092384,0.0,0.355209294,0.0,0.013424304,NAT
Rutherglen and Hamilton West,Margaret Ferrier,2,Ayrshire and Lanark,80918,8054,18545,2791,0,0,23775,0,629,0.09953286,0.229182629,0.034491708,0.0,0.0,0.293815962,0.0,0.007773301,NAT
Stirling,Alyn Smith,2,Central,68473,17641,4275,2867,0,942,26895,0,0,0.257634396,0.062433368,0.041870518,0.0,0.013757247,0.392782557,0.0,0.0,NAT
Antrim East,Sammy Wilson,1,Antrim,64830,5475,902,16871,10165,685,2120,0,1043,0.084451643,0.013913312,0.260234459,0.156794694,0.010566096,0.03270091,0.0,0.016088231,LIB
Antrim North,Ian Paisley,1,Antrim,77134,8139,2943,20860,6231,0,5632,0,246,0.105517671,0.038154381,0.270438458,0.080781497,0.0,0.073015791,0.0,0.003189255,LIB
Antrim South,Paul Girvan,1,Antrim,71711,12460,2288,15149,8190,0,4887,0,0,0.173752981,0.031905844,0.211250715,0.11420842,0.0,0.068148541,0.0,0.0,LIB
Belfast East,Gavin Robinson,1,Antrim,66245,2516,0,20874,19055,0,0,0,0,0.037980225,0.0,0.315103027,0.287644351,0.0,0.0,0.0,0.0,LIB
Belfast North,John Finucane,1,Antrim,72225,0,0,21135,4824,0,23078,0,0,0.0,0.0,0.292627207,0.066791277,0.0,0.319529249,0.0,0.0,NAT
Belfast South,Claire Hanna,1,Antrim,69984,1259,27079,11678,6786,0,0,0,550,0.017989826,0.386931299,0.166866712,0.096965021,0.0,0.0,0.0,0.007858939,LAB
Belfast West,Paul Maskey,1,Antrim,65644,0,2985,5220,1882,0,20866,6194,1635,0.0,0.045472549,0.079519834,0.028669795,0.0,0.317866065,0.094357443,0.024907075,NAT
Down North,Stephen Farry,1,Down,67099,4936,0,15390,18358,0,0,0,1959,0.073562944,0.0,0.229362584,0.273595732,0.0,0.0,0.0,0.029195666,Brexit
Down South,Chris Hazzard,1,Down,79175,3307,14517,7619,6916,0,16137,0,1266,0.041768235,0.183353331,0.096229871,0.087350805,0.0,0.203814335,0.0,0.015989896,NAT
Fermanagh and South Tyrone,Michelle Gildernew,1,Fermanagh,72848,21929,3446,0,2650,0,21986,0,751,0.30102405,0.047303975,0.0,0.036377114,0.0,0.301806501,0.0,0.010309137,NAT
Foyle,Colum Eastwood,1,Londonderry,74346,1088,26881,4773,1267,0,9771,2032,1332,0.014634278,0.361566191,0.064199822,0.017041939,0.0,0.131426035,0.027331665,0.01791623,LAB
Lagan Valley,Jeffrey Donaldson,1,Antrim,75735,8606,1758,19586,13087,0,1098,0,1270,0.113633063,0.023212517,0.258612266,0.172799894,0.0,0.01449792,0.0,0.016768997,LIB
Londonderry East,Gregory Campbell,1,Londonderry,69246,3599,6158,15765,5921,0,6128,0,1731,0.051974121,0.088929324,0.22766658,0.085506744,0.0,0.088496086,0.0,0.024997834,LIB
Newry and Armagh,Mickey Brady,1,Armagh,81226,4204,9449,11000,4211,0,20287,0,1628,0.051756827,0.116329747,0.135424618,0.051843006,0.0,0.249759929,0.0,0.020042843,NAT
Strangford,Jim Shannon,1,Down,66928,4023,1994,17705,10634,790,555,0,1784,0.060109371,0.029793211,0.264538011,0.158887162,0.011803729,0.008292493,0.0,0.02665551,LIB
Tyrone West,Orfhlaith Begley,1,Tyrone,66259,2774,7330,9066,3979,521,16544,0,972,0.041866011,0.110626481,0.136826695,0.060052219,0.007863083,0.249686835,0.0,0.014669705,NAT
Ulster Mid,Francie Molloy,1,Tyrone,70449,2611,6384,10936,3526,0,20473,0,690,0.037062272,0.090618745,0.155232863,0.050050391,0.0,0.29060739,0.0,0.009794319,NAT
Upper Bann,Carla Lockhart,1,Armagh,82887,6197,4623,20501,6433,0,12291,0,0,0.074764438,0.055774729,0.247336736,0.077611688,0.0,0.148286221,0.0,0.0,LIB
