nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
16,15,16,0.003009081,0.000343323,0.000602722,0.001235962
16,15,24,0.003009081,0.00053978,0.000475645,0.001235962
16,15,32,0.003009081,0.000623703,0.000558376,0.001235962
16,16,8,0.002184629,0.000265598,0.000268698,0.000930786
16,16,16,0.002184629,0.000248671,0.000302553,0.001235962
16,16,24,0.002184629,0.000458479,0.000298977,0.001235962
16,16,32,0.002184629,0.000400066,0.00036931,0.001235962
16,17,8,0.003718853,0.00028944,0.000263214,0.000930786
16,17,16,0.003718853,0.000272512,0.000343561,0.001235962
16,17,24,0.003718853,0.000511885,0.000338554,0.001235962
16,17,32,0.003718853,0.000428915,0.000384569,0.001235962
16,18,8,0.002560854,0.000277758,0.000286579,0.000930786
16,18,16,0.002560854,0.000348806,0.000318289,0.001235962
16,18,24,0.002560854,0.00036335,0.000295162,0.001235962
16,18,32,0.002560854,0.000293493,0.000292301,0.001235962
16,19,8,0.003496885,0.000473261,0.000406265,0.000930786
16,19,16,0.003496885,0.000581264,0.000709057,0.001235962
16,19,24,0.003496885,0.000643492,0.000500679,0.001235962
16,19,32,0.003496885,0.00054121,0.000435591,0.001235962
16,20,8,0.004126787,0.000354052,0.000355244,0.000930786
16,20,16,0.004126787,0.000365734,0.000392914,0.001235962
16,20,24,0.004126787,0.000407457,0.000419855,0.001235962
16,20,32,0.004126787,0.00045085,0.000407457,0.001235962
16,21,8,0.005273342,0.000598431,0.000785351,0.000930786
16,21,16,0.005273342,0.000716925,0.000576019,0.001235962
16,21,24,0.005273342,0.000617504,0.000564814,0.001235962
16,21,32,0.005273342,0.000751495,0.000867128,0.001235962
16,22,8,0.022277832,0.000710726,0.000776291,0.000930786
16,22,16,0.022277832,0.00073123,0.001014233,0.001235962
16,22,24,0.022277832,0.000696898,0.000612259,0.001235962
16,22,32,0.022277832,0.000865221,0.000884533,0.001235962
16,23,8,0.026242495,0.000895023,0.000730753,0.000930786
16,23,16,0.026242495,0.000853062,0.000915051,0.001235962
16,23,24,0.026242495,0.000680923,0.000811815,0.001235962
16,23,32,0.026242495,0.000689507,0.000928402,0.001235962
16,24,8,0.00425005,0.000560999,0.000568151,0.000930786
16,24,16,0.00425005,0.00055027,0.000761509,0.001235962
16,24,24,0.00425005,0.000686646,0.000934124,0.001235962
16,24,32,0.00425005,0.001049757,0.000736237,0.001235962
16,25,8,0.006654501,0.000779152,0.000557899,0.000930786
16,25,16,0.006654501,0.000540257,0.000621557,0.001235962
16,25,24,0.006654501,0.000733137,0.000818014,0.001235962
16,25,32,0.006654501,0.000658274,0.000593185,0.001235962
16,26,8,0.006151438,0.000796318,0.000752211,0.000930786
16,26,16,0.006151438,0.000860214,0.001108885,0.001235962
16,26,24,0.006151438,0.00115633,0.001240969,0.001235962
16,26,32,0.006151438,0.001019239,0.000762701,0.001235962
16,27,8,0.004884243,0.001215935,0.001193762,0.000930786
16,27,16,0.004884243,0.000818968,0.000876665,0.001235962
16,27,24,0.004884243,0.001277447,0.001145124,0.001235962
16,27,32,0.004884243,0.001469612,0.001581669,0.001235962
16,28,8,0.010383606,0.001544476,0.001749992,0.000930786
16,28,16,0.010383606,0.001879454,0.001801491,0.001235962
16,28,24,0.010383606,0.001748562,0.001788378,0.001235962
16,28,32,0.010383606,0.001662254,0.00189805,0.001235962
16,29,8,0.010509253,0.001437664,0.00121665,0.000930786
16,29,16,0.010509253,0.001184702,0.001272917,0.001235962
16,29,24,0.010509253,0.001078844,0.00118041,0.001235962
16,29,32,0.010509253,0.001349688,0.001509905,0.001235962
16,30,8,0.009127855,0.00088501,0.000886202,0.000930786
16,30,16,0.009127855,0.000854492,0.000764132,0.001235962
16,30,24,0.009127855,0.000820637,0.000760078,0.001235962
16,30,32,0.009127855,0.000746012,0.000715494,0.001235962
16,31,8,0.008627176,0.001603603,0.001638174,0.000930786
16,31,16,0.008627176,0.001607656,0.001258612,0.001235962
16,31,24,0.008627176,0.000860929,0.000771046,0.001235962
16,31,32,0.008627176,0.000785351,0.000771046,0.001235962
16,32,8,0.006422758,0.000935316,0.000793457,0.000930786
16,32,16,0.006422758,0.000785112,0.000824213,0.001235962
16,32,24,0.006422758,0.000828028,0.000820875,0.001235962
16,32,32,0.006422758,0.00082016,0.000797987,0.001235962
24,2,8,0.000428438,6.08e-05,5.22e-05,0.000930786
24,2,16,0.000428438,5.36e-05,5.15e-05,0.001235962
24,2,24,0.000428438,6.6e-05,6.13e-05,0.001235962
24,2,32,0.000428438,8.46e-05,8.11e-05,0.001235962
24,3,8,0.000500679,8.56e-05,8.01e-05,0.000930786
24,3,16,0.000500679,6.13e-05,6.39e-05,0.001235962
24,3,24,0.000500679,8.01e-05,0.000112772,0.001235962
24,3,32,0.000500679,8.44e-05,8.03e-05,0.001235962
24,4,8,0.000693083,0.000158787,0.000112057,0.000930786
24,4,16,0.000693083,0.00014925,0.000191927,0.001235962
24,4,24,0.000693083,0.000161409,0.00014782,0.001235962
24,4,32,0.000693083,0.000123978,0.000113964,0.001235962
24,5,8,0.001364708,0.00014925,0.000169754,0.000930786
24,5,16,0.001364708,0.000188589,0.000251293,0.001235962
24,5,24,0.001364708,0.000167131,0.000146866,0.001235962
24,5,32,0.001364708,0.000139236,0.000128031,0.001235962
24,6,8,0.001502275,0.000148535,0.000176907,0.000930786
24,6,16,0.001502275,0.000195503,0.000163078,0.001235962
24,6,24,0.001502275,0.000148535,0.000143051,0.001235962
24,6,32,0.001502275,0.000139475,0.000140429,0.001235962
24,7,8,0.001244783,0.000183344,0.000178814,0.000930786
24,7,16,0.001244783,0.000170469,0.000186205,0.001235962
24,7,24,0.001244783,0.000180244,0.000176907,0.001235962
24,7,32,0.001244783,0.000265598,0.000326157,0.001235962
24,8,8,0.001638889,0.000191212,0.000197172,0.000930786
24,8,16,0.001638889,0.000188589,0.000196934,0.001235962
24,8,24,0.001638889,0.000186443,0.000197172,0.001235962
24,8,32,0.001638889,0.000203133,0.000208378,0.001235962
24,9,8,0.002479076,0.000461578,0.000341654,0.000930786
24,9,16,0.002479076,0.000408411,0.000337839,0.001235962
24,9,24,0.002479076,0.000272751,0.000355959,0.001235962
24,9,32,0.002479076,0.000357389,0.000352859,0.001235962
24,10,8,0.0019629,0.000257015,0.000273943,0.000930786
24,10,16,0.0019629,0.000257254,0.000278711,0.001235962
24,10,24,0.0019629,0.000258446,0.000292301,0.001235962
24,10,32,0.0019629,0.000260353,0.000332594,0.001235962
24,11,8,0.0026052,0.000283718,0.000326872,0.000930786
24,11,16,0.0026052,0.000339508,0.000286102,0.001235962
24,11,24,0.0026052,0.000254154,0.000256538,0.001235962
24,11,32,0.0026052,0.000255108,0.000254631,0.001235962
24,12,8,0.003129005,0.000612974,0.000495672,0.000930786
24,12,16,0.003129005,0.000505686,0.000608921,0.001235962
24,12,24,0.003129005,0.000491381,0.000535488,0.001235962
24,12,32,0.003129005,0.000429869,0.000364065,0.001235962
24,13,8,0.002565145,0.000380516,0.00041914,0.000930786
24,13,16,0.002565145,0.000447035,0.000409842,0.001235962
24,13,24,0.002565145,0.000399351,0.000435829,0.001235962
24,13,32,0.002565145,0.000439167,0.000397921,0.001235962
24,14,8,0.002950191,0.000425339,0.000513077,0.000930786
24,14,16,0.002950191,0.000462055,0.000420332,0.001235962
24,14,24,0.002950191,0.000427008,0.000419617,0.001235962
24,14,32,0.002950191,0.000492334,0.000397205,0.001235962
24,15,8,0.002991438,0.000436544,0.000432968,0.000930786
24,15,16,0.002991438,0.0004251,0.000438213,0.001235962
24,15,24,0.002991438,0.000463963,0.000440359,0.001235962
24,15,32,0.002991438,0.000495434,0.000444174,0.001235962
24,16,8,0.003121376,0.000523567,0.000743389,0.000930786
24,16,16,0.003121376,0.000947952,0.001024961,0.001235962
24,16,24,0.003121376,0.000806808,0.000700474,0.001235962
24,16,32,0.003121376,0.000618219,0.000573635,0.001235962
24,17,8,0.003995657,0.000832319,0.000750303,0.000930786
24,17,16,0.003995657,0.000534058,0.000534296,0.001235962
24,17,24,0.003995657,0.000518799,0.000538588,0.001235962
24,17,32,0.003995657,0.000529051,0.000540733,0.001235962
24,18,8,0.004159451,0.000799417,0.000786543,0.000930786
24,18,16,0.004159451,0.000795603,0.000708818,0.001235962
24,18,24,0.004159451,0.000682592,0.000640154,0.001235962
24,18,32,0.004159451,0.00069046,0.000691891,0.001235962
24,19,8,0.004007816,0.000651598,0.000623703,0.000930786
24,19,16,0.004007816,0.000684261,0.000654459,0.001235962
24,19,24,0.004007816,0.000839949,0.001142263,0.001235962
24,19,32,0.004007816,0.001201153,0.000983,0.001235962
24,20,8,0.004545927,0.000733614,0.000727177,0.000930786
24,20,16,0.004545927,0.000765085,0.000727892,0.001235962
24,20,24,0.004545927,0.000736237,0.000726223,0.001235962
24,20,32,0.004545927,0.000718117,0.000732422,0.001235962
24,21,8,0.009924889,0.001578331,0.001347542,0.000930786
24,21,16,0.009924889,0.001241446,0.001121283,0.001235962
24,21,24,0.009924889,0.001073599,0.001431465,0.001235962
24,21,32,0.009924889,0.002554893,0.002528191,0.001235962
24,22,8,0.009979248,0.002448797,0.003267765,0.000930786
24,22,16,0.009979248,0.003974438,0.003372669,0.001235962
24,22,24,0.009979248,0.00223732,0.002259731,0.001235962
24,22,32,0.009979248,0.002911329,0.002098799,0.001235962
24,23,8,0.008183956,0.001652002,0.003251791,0.000930786
24,23,16,0.008183956,0.003210068,0.002520084,0.001235962
24,23,24,0.008183956,0.001957893,0.001830339,0.001235962
24,23,32,0.008183956,0.001775742,0.002055407,0.001235962
24,24,8,0.012196541,0.001350403,0.001740694,0.000930786
24,24,16,0.012196541,0.002993107,0.002787113,0.001235962
24,24,24,0.012196541,0.00235033,0.002151251,0.001235962
24,24,32,0.012196541,0.001823902,0.001729012,0.001235962
24,25,8,0.011074543,0.001831055,0.001879454,0.000930786
24,25,16,0.011074543,0.001847744,0.002621651,0.001235962
24,25,24,0.011074543,0.003314734,0.003256321,0.001235962
24,25,32,0.011074543,0.002413511,0.001644373,0.001235962
24,26,8,0.011248112,0.002825499,0.002828121,0.000930786
24,26,16,0.011248112,0.00182271,0.001678705,0.001235962
24,26,24,0.011248112,0.003237963,0.003386736,0.001235962
24,26,32,0.011248112,0.002002478,0.001132965,0.001235962
24,27,8,0.004931211,0.001762867,0.001701355,0.000930786
24,27,16,0.004931211,0.001689672,0.001696587,0.001235962
24,27,24,0.004931211,0.001404285,0.001371384,0.001235962
24,27,32,0.004931211,0.001378536,0.001432896,0.001235962
24,28,8,0.007166386,0.001808405,0.001751661,0.000930786
24,28,16,0.007166386,0.001595497,0.001699448,0.001235962
24,28,24,0.007166386,0.001493692,0.001542568,0.001235962
24,28,32,0.007166386,0.001471996,0.001714468,0.001235962
24,29,8,0.006209135,0.001384258,0.001504183,0.000930786
