_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
831,CT#831,CUNHM,BSRU-AA-6683,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
832,CT#832,CUNHM,BSRU-AA-6684,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
833,CT#833,CUNHM,BSRU-AA-6685,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
834,CT#834,CUNHM,BSRU-AA-6686,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Male
835,CT#835,CUNHM,BSRU-AA-6687,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.90886483,99.048056,1521.95,1521.95,N. Warrit et al.,Worker
836,CT#836,CUNHM,BSRU-AA-6688,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,18/12/2018,Thailand,Baan Lek Nai Payai,19.97796983,99.247405,1599.07,1599.07,N. Warrit et al.,Male
837,CT#837,CUNHM,BSRU-AA-6689,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,18/12/2018,Thailand,Doi Ang Kang Station,19.90972,99.04298683,1419.5,1419.5,N. Warrit et al.,Male
838,CT#838,CUNHM,BSRU-AA-6690,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,18/12/2018,Thailand,Doi Ang Kang Station,19.90972,99.04298683,1419.5,1419.5,N. Warrit et al.,Male
839,CT#839,CUNHM,BSRU-AA-6691,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,18/12/2018,Thailand,Doi Ang Kang Station,19.90972,99.04298683,1419.5,1419.5,N. Warrit et al.,Worker
840,CT#840,CUNHM,BSRU-AA-6692,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Male
841,CT#841,CUNHM,BSRU-AA-6693,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Male
842,CT#842,CUNHM,BSRU-AA-6694,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Male
843,CT#843,CUNHM,BSRU-AA-6695,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Worker
844,CT#844,CUNHM,BSRU-AA-6696,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Worker
845,CT#845,CUNHM,BSRU-AA-6697,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Worker
846,CT#846,CUNHM,BSRU-AA-6698,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,19/12/2018,Thailand,Doi Ang Kang Station,19.90635983,99.04013883,1400.2,1400.2,N. Warrit et al.,Worker
847,CT#847,CUNHM,BSRU-AA-6699,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.91099083,99.04067833,1376.49,1376.49,N. Warrit et al.,Worker
848,CT#848,CUNHM,BSRU-AA-6700,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.86832583,99.04390883,1547.11,1547.11,N. Warrit et al.,Male
849,CT#849,CUNHM,BSRU-AA-6701,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.86832583,99.04390883,1547.11,1547.11,N. Warrit et al.,Worker
850,CT#850,CUNHM,BSRU-AA-6702,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,17/12/2018,Thailand,Doi Ang Kang Station,19.86832583,99.04390883,1547.11,1547.11,N. Warrit et al.,Worker
851,CT#851,CUNHM,BSRU-AA-6703,Orientalibombus,Bombus haemorrhoidalis,2018.0,Dec,20/12/2018,Thailand,Khun Chang Kien,18.83874608,98.896522,1341.6,1341.6,N. Warrit et al.,Worker
852,CT#852,DNP,,Pyrobombus,Bombus flavescens,1965.0,Dec,11/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Worker
853,CT#853,DNP,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Dec,19/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Queen
854,CT#854,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Aug,18/8/1971,Thailand,Bo Luang,18.14,98.37,,,Prayune,Worker
855,CT#855,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Aug,18/8/1971,Thailand,Bo Luang,18.14,98.37,,,Prayune,Worker
856,CT#856,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Aug,18/8/1971,Thailand,Bo Luang,18.14,98.37,,,Prayune,Worker
857,CT#857,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Aug,18/8/1971,Thailand,Bo Luang,18.14,98.37,,,Prayune,Worker
858,CT#858,DNP,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Sep,25/9/1965,Thailand,Doi Tung,20.29,99.81,,,D. Chaiglom,Worker
859,CT#859,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Jul,4/7/1971,Thailand,Doi Pui,18.83,98.89,,,D. Chaiglom,Worker
860,CT#860,DNP,,Orientalibombus,Bombus haemorrhoidalis,1971.0,Aug,18/8/1971,Thailand,Bo Luang,18.14,98.37,,,Prayune,Worker
861,CT#861,DNP,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Jul,4/7/1965,Thailand,Doi Pui,18.83,98.89,,,D. Chaiglom,Worker
862,CT#862,DNP,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Dec,19/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Worker
863,CT#863,DNP,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Dec,19/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Male
864,CT#864,DNP,,Megabombus,Bombus montivagus,1967.0,Sep,25/9/1967,Thailand,Doi Tung,20.33,99.83,,,D. Chaiglom,Worker
865,CT#865,DNP,,Megabombus,Bombus montivagus,1967.0,Oct,5/10/1967,Thailand,Phu Tab Berg,16.9,101.11,,,D. Chaiglom,Worker
866,CT#866,DNP,,Megabombus,Bombus montivagus,1967.0,Sep,25/9/1967,Thailand,Doi Tung,20.33,99.83,,,D. Chaiglom,Worker
867,CT#867,DNP,,Megabombus,Bombus montivagus,1967.0,Sep,25/9/1967,Thailand,Doi Tung,20.33,99.83,,,D. Chaiglom,Worker
868,CT#868,DNP,,Megabombus,Bombus montivagus,1967.0,Sep,25/9/1967,Thailand,Doi Tung,20.33,99.83,,,D. Chaiglom,Worker
869,CT#869,DNP,,Melanobombus,Bombus eximius,1965.0,Dec,19/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Queen
870,CT#870,DNP,,Melanobombus,Bombus eximius,1965.0,Dec,19/12/1965,Thailand,Doi Inthanon,18.59,98.49,,,D. Chaiglom,Worker
871,CT#871,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Jun,28/6/2014,Thailand,Khun Chang Kien,18.8,98.883333,1350,1350,C. Sinpoo,Worker
872,CT#872,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Jun,28/6/2014,Thailand,Khun Chang Kien,18.8,98.883333,1350,1350,C. Sinpoo,Worker
873,CT#873,BEEP,,Megabombus,Bombus montivagus,2014.0,Sep,21/9/2014,Thailand,Doi Suthep,18.8,98.88333333,,,C. Sinpoo,Worker
874,CT#874,BEEP,,Megabombus,Bombus montivagus,2014.0,Aug,2/8/2014,Thailand,Doi Suthep,18.8,98.88333333,1373,1373,C. Sinpoo,Worker
875,CT#875,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,2/8/2014,Thailand,Doi Suthep,18.8,98.883333,1373,1373,C. Sinpoo,Worker
876,CT#876,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,2/8/2014,Thailand,Doi Suthep,18.8,98.883333,1373,1373,C. Sinpoo,Worker
877,CT#877,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,2/8/2014,Thailand,Doi Suthep,18.8,98.883333,1373,1373,C. Sinpoo,Worker
878,CT#878,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
879,CT#879,BEEP,,Megabombus,Bombus montivagus,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
880,CT#880,BEEP,,Alpigenobombus,Bombus breviceps,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
881,CT#881,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
882,CT#882,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
883,CT#883,BEEP,,Alpigenobombus,Bombus breviceps,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
884,CT#884,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
885,CT#885,BEEP,,Megabombus,Bombus montivagus,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
886,CT#886,BEEP,,Alpigenobombus,Bombus breviceps,2014.0,Aug,11/8/2014,Thailand,Doi Inthanon,18.53333333,98.51666667,1304,1304,C. Sinpoo,Worker
887,CT#887,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
888,CT#888,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
889,CT#889,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
890,CT#890,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
891,CT#891,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
892,CT#892,BEEP,,Orientalibombus,Bombus haemorrhoidalis,2016.0,Oct,24/10/2016,Thailand,Mon ngoa ,19.0,98.78333333,850,850,C. Sinpoo,Worker
893,CT#893,NHMW,,Melanobombus,Bombus eximius,2010.0,Jun,2/6/2010,Myanmar,Natmataung Nat. Park,21.21981,93.94001,2700,2700,D. Zimmermann,Worker
894,CT#894,NHMW,,Alpigenobombus,Bombus breviceps,2017.0,Jun,25/6/2017,Vietnam,Lao Cai,23.356,103.792,1526,1526,D. Zimmermann,Worker
895,CT#895,NHMW,,Megabombus,Bombus montivagus,2017.0,Jun,25/6/2017,Vietnam,Lao Cai,23.356,103.792,1526,1526,D. Zimmermann,Worker
896,CT#896,NHMW,,Megabombus,Bombus montivagus,2017.0,Jun,25/6/2017,Vietnam,Lao Cai,23.356,103.792,1526,1526,D. Zimmermann,Worker
897,CT#897,NHMW,,Megabombus,Bombus burmensis,2017.0,Jun,25/6/2017,Vietnam,Lao Cai,23.356,103.792,1526,1526,D. Zimmermann,Worker
898,CT#898,NHMW,,Megabombus,Bombus burmensis,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694,103.77222,,,D. Zimmermann,Worker
899,CT#899,NHMW,,Megabombus,Bombus burmensis,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694,103.77222,,,D. Zimmermann,Worker
900,CT#900,NHMW,,Megabombus,Bombus burmensis,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694,103.77222,,,D. Zimmermann,Worker
901,CT#901,NHMW,,Melanobombus,Bombus rufofasciatus,1866.0,,,Myanmar,Yangon,16.87,96.2,,,Stolizka,Queen
902,CT#902,NHMW,,Melanobombus,Bombus rufipes,1908.0,,,Indonesia,North Sulawesi,,,,,,Queen
903,CT#903,NHMW,,Melanobombus,Bombus rufipes,,,,Indonesia,Bandjar,,,,,,Male
904,CT#904,NHMW,,Melanobombus,Bombus rufipes,,,,Indonesia,Bandjar,,,,,,Male
905,CT#905,NHMW,,Melanobombus,Bombus rufipes,,,,Indonesia,Bandjar,,,,,,Worker
906,CT#906,NHMW,,Melanobombus,Bombus rufipes,,,,Indonesia,Bandjar,,,,,,Worker
907,CT#907,NHMW,,Melanobombus,Bombus rufipes,,,,Indonesia,Bandjar,,,,,,Worker
908,CT#908,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694444,103.7722222,,,D. Zimmermann,Worker
909,CT#909,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694444,103.7722222,,,D. Zimmermann,Worker
910,CT#910,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694444,103.7722222,,,D. Zimmermann,Worker
911,CT#911,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,23/6/2017,Vietnam,Lao Cai,22.34888889,103.7702778,1900,1900,D. Zimmermann,Worker
912,CT#912,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,23/6/2017,Vietnam,Lao Cai,22.34888889,103.7702778,1900,1900,D. Zimmermann,Worker
913,CT#913,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,22/6/2017,Vietnam,Lao Cai,22.34694444,103.7722222,,,D. Zimmermann,Worker
914,CT#914,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,23/6/2017,Vietnam,Lao Cai,22.34888889,103.7702778,1900,1900,D. Zimmermann,Worker
915,CT#915,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,23/6/2017,Vietnam,Lao Cai,22.34888889,103.7702778,1900,1900,D. Zimmermann,Worker
916,CT#916,NHMW,,Pyrobombus,Bombus lepidus,2017.0,Jun,23/6/2017,Vietnam,Lao Cai,22.34888889,103.7702778,1900,1900,D. Zimmermann,Worker
917,CT#917,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Worker
918,CT#918,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Worker
919,CT#919,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Worker
920,CT#920,NHMW,,Pyrobombus,Bombus lepidus,2010.0,Jun,2/6/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Male
921,CT#921,NHMW,,Pyrobombus,Bombus lepidus,2010.0,Jun,2/6/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Male
922,CT#922,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Worker
923,CT#923,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.23427778,93.90097222,3050,3050,D. Zimmermann,Worker
924,CT#924,NHMW,,Pyrobombus,Bombus lepidus,2010.0,May,31/5/2010,Myanmar,Natmataung NP,21.21980556,93.94005556,2700,2700,D. Zimmermann,Worker
925,CT#925,PHW,,Pyrobombus,Bombus flavescens,1992.0,Oct,30/10/1992,Malaysia,Gunung Jasar,4.48,101.36,1635.25,1635.25,S. Martin,Worker
926,CT#926,PHW,,Pyrobombus,Bombus flavescens,,,,Malaysia,Gunung Tahan,4.633,102.235,2186,2186,S. Martin,Worker
927,CT#927,PHW,,Pyrobombus,Bombus flavescens,,,,Malaysia,Gunung Tahan,4.633,102.235,2186,2186,S. Martin,Worker
928,CT#928,PHW,,Pyrobombus,Bombus flavescens,,,,Malaysia,Gunung Tahan,4.633,102.235,2186,2186,S. Martin,Male
929,CT#929,PHW,,Pyrobombus,Bombus flavescens,,,,Malaysia,Gunung Tahan,4.633,102.235,2186,2186,S. Martin,Male
930,CT#930,PHW,,Pyrobombus,Bombus flavescens,1992.0,Oct,30/10/1992,Malaysia,Gunung Jasar,4.48,101.36,1635.25,1635.25,S. Martin,Worker
931,CT#931,PHW,,Pyrobombus,Bombus flavescens,,,,Malaysia,Gunung Tahan,4.633,102.235,2186,2186,S. Martin,Worker
932,CT#932,PHW,,Pyrobombus,Bombus flavescens,1986.0,Apr,27/4/1986,Philippines,Mt. Banahaw,14.07,121.49,1400,1900,C. K. Starr,Worker
933,CT#933,PHW,,Pyrobombus,Bombus flavescens,1986.0,Apr,27/4/1986,Philippines,Mt. Banahaw,14.07,121.49,1400,1900,C. K. Starr,Worker
934,CT#934,NHMUK,10814937,Melanobombus,Bombus prshewalskyi,1931.0,Jul,23/7/1931,Myanmar,Adung Valley ,28.13,97.7,3657.6,3657.6,Lord Cranbrook,Worker
935,CT#935,NHMUK,10814938,Melanobombus,Bombus prshewalskyi,1931.0,Jul,23/7/1931,Myanmar,Adung Valley ,28.13,97.7,3657.6,3657.6,Lord Cranbrook,Worker
936,CT#936,NHMUK,10814939,Melanobombus,Bombus prshewalskyi,1931.0,Jun,24/6/1931,Myanmar,Adung Valley ,28.13,97.7,3657.6,3657.6,F. Kingdon Ward,Worker
937,CT#937,NHMUK,10814940,Melanobombus,Bombus prshewalskyi,1931.0,May,9/5/1931,Myanmar,Adung Valley ,28.13,97.7,3657.6,3657.6,Lord Cranbrook,Worker
938,CT#938,NHMUK,10814941,Melanobombus,Bombus prshewalskyi,1931.0,Jul,23/7/1931,Myanmar,Adung Valley ,28.13,97.7,3657.6,3657.6,Lord Cranbrook,Worker
939,CT#939,QSBG,QSBG-2015-149-266,Orientalibombus,Bombus haemorrhoidalis,2015.0,Jul,9/7/2015,Thailand,Doi Phahompok NP,20.07688889,99.17722222,1631,1631,W. Srisuke et al.,Worker
940,CT#940,QSBG,QSBG-2018-0166-0019,Megabombus,Bombus montivagus,2018.0,Nov,14/11/2018,Thailand,,,,,,,Worker
941,CT#941,QSBG,QSBG-2018-0166-0018,Megabombus,Bombus montivagus,2018.0,Nov,14/11/2018,Thailand,,,,,,W. Srisuke et al.,Worker
942,CT#942,FRIM,,Pyrobombus,Bombus flavescens,1986.0,Apr,1/4/1986,Malaysia,Cameron Highlands,4.5182965,101.3787402,,,V. P. Tho,Worker
943,CT#943,FRIM,,Pyrobombus,Bombus flavescens,1986.0,Apr,1/4/1986,Malaysia,Cameron Highlands,4.5182965,101.3787402,,,V. P. Tho,Worker
944,CT#944,FRIM,,Pyrobombus,Bombus flavescens,1986.0,Apr,1/4/1986,Malaysia,Cameron Highlands,4.5182965,101.3787402,,,V. P. Tho,Worker
945,CT#945,QSBG,T5500,Alpigenobombus,Bombus breviceps,,,,Thailand,Huai Nam Dang NP,19.291164,98.60054694,,,,Worker
946,CT#946,QSBG,T6299,Megabombus,Bombus montivagus,2007.0,Sep,17/9/2007,Thailand,Mae Wong NP ,16.120908,99.093959,,,Chumpol Piluek & Aram Inphuang,Male
947,CT#947,QSBG,T5511,Megabombus,Bombus montivagus,2007.0,Sep,7/9/2007,Thailand,Huai Nam Dang NP,19.291164,98.60054694,1375,1375,Anuchart Thawatchai,Worker
948,CT#948,NHMUK,10814942,Megabombus,Bombus senex,1881.0,Feb,4/2/1881,Indonesia,"Sumatra,  Mt Dempo",-4.015833,103.128333,,,H. O. Forbes,Queen
949,CT#949,CUNHM,BSRU-AB-1257,Alpigenobombus,Bombus breviceps,2019.0,Jun,15/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
950,CT#950,CUNHM,BSRU-AB-1258,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,15/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
951,CT#951,CUNHM,BSRU-AB-1259,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,15/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
952,CT#952,CUNHM,BSRU-AB-1260,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
953,CT#953,CUNHM,BSRU-AB-1261,Megabombus,Bombus montivagus,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
954,CT#954,CUNHM,BSRU-AB-1262,Megabombus,Bombus montivagus,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
955,CT#955,CUNHM,BSRU-AB-1263,Alpigenobombus,Bombus breviceps,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
956,CT#956,CUNHM,BSRU-AB-1264,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
957,CT#957,CUNHM,BSRU-AB-1265,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.54111111,98.54861111,1015,1015,N. Warrit et al.,Worker
958,CT#958,CUNHM,BSRU-AB-1266,Orientalibombus,Bombus haemorrhoidalis,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.5272909,98.500312,1670.67,1670.67,N. Warrit et al.,Worker
959,CT#959,CUNHM,BSRU-AB-1267,Megabombus,Bombus montivagus,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.5272909,98.500312,1670.67,1670.67,N. Warrit et al.,Worker
960,CT#960,CUNHM,BSRU-AB-1268,Pyrobombus,Bombus rotundiceps,2019.0,Jun,17/6/2019,Thailand,Doi Inthanon,18.5272909,98.500312,1670.67,1670.67,N. Warrit et al.,Male
961,CT#961,CUNHM,BSRU-AB-1269,Alpigenobombus,Bombus breviceps,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
962,CT#962,CUNHM,BSRU-AB-1270,Megabombus,Bombus montivagus,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
963,CT#963,CUNHM,BSRU-AB-1271,Megabombus,Bombus montivagus,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
964,CT#964,CUNHM,BSRU-AB-1272,Megabombus,Bombus montivagus,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
965,CT#965,CUNHM,BSRU-AB-1273,Megabombus,Bombus montivagus,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
966,CT#966,CUNHM,BSRU-AB-1274,Megabombus,Bombus montivagus,2019.0,Jun,23/6/2019,Thailand,Doi Inthanon,18.5071389,98.4996389,1585,1585,C. Thanoosing et al.,Worker
967,CT#967,CUNHM,BSRU-AB-1275,Melanobombus,Bombus eximius,2019.0,Jun,28/6/2019,Thailand,Doi Inthanon,18.58805556,98.48638889,2564,2564,C. Thanoosing et al.,Worker
968,CT#968,CUNHM,BSRU-AB-1276,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
969,CT#969,CUNHM,BSRU-AB-1277,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
970,CT#970,CUNHM,BSRU-AB-1278,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
971,CT#971,CUNHM,BSRU-AB-1279,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
972,CT#972,CUNHM,BSRU-AB-1280,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
973,CT#973,CUNHM,BSRU-AB-1281,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
974,CT#974,CUNHM,BSRU-AB-1282,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
975,CT#975,CUNHM,BSRU-AB-1283,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
976,CT#976,CUNHM,BSRU-AB-1284,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
977,CT#977,CUNHM,BSRU-AB-1285,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
978,CT#978,CUNHM,BSRU-AB-1286,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
979,CT#979,CUNHM,BSRU-AB-1287,Alpigenobombus,Bombus breviceps,2019.0,Jun,13/6/2019,Thailand,Doi Inthanon,18.5420531,98.5232391,1260,1260,N. Warrit et al.,Worker
