_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
707,CT#707,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1923.0,Sep,11/9/1923,Thailand,,18.81,98.95,,,Nopporn,Worker
708,CT#708,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1982.0,Mar,16/3/2582,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Sukanya,Worker
709,CT#709,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Sep,3/9/2003,Thailand,,18.74,98.96,,,Natthawadee,Worker
710,CT#710,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Jul,18/7/2003,Thailand,,18.81,98.95,,,,Worker
711,CT#711,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2005.0,Jan,5/1/2005,Thailand,,18.63,98.9,,,Kamonpan,Worker
712,CT#712,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Sep,8/9/2003,Thailand,,19.22,100.2,,,Chaiyawat,Worker
713,CT#713,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Jul,20/7/2003,Thailand,,18.87,99.14,,,Suntriporn,Worker
714,CT#714,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Jul,22/7/2003,Thailand,Payap University,18.79,99.0,,,Waraporn,Worker
715,CT#715,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Aug,20/8/2003,Thailand,,19.02,100.97,,,Sitthipong,Worker
716,CT#716,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Sep,1/9/2002,Thailand,Wat Pha Lat,18.8,98.93,,,Kajorn,Worker
717,CT#717,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2008.0,Sep,1/9/2008,Thailand,,18.74,98.96,,,Chanchine,Worker
718,CT#718,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Jun,22/6/2003,Thailand,Huay Hong Khrai,18.85,99.22,,,Chakrapan,Worker
719,CT#719,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2004.0,Aug,8/8/2004,Thailand,Chiang Mai University,18.81,98.95,,,,Worker
720,CT#720,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2008.0,Mar,8/3/2008,Thailand,,18.81,98.95,,,Maturos,Worker
721,CT#721,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2001.0,Sep,30/9/2001,Thailand,,18.81,98.95,,,Wirachinee,Worker
722,CT#722,ACMU,,Orientalibombus,Bombus haemorrhoidalis,,Aug,4-Aug,Thailand,,18.71,99.04,,,Kedsirin,Worker
723,CT#723,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Aug,12/8/2003,Thailand,San Pa Kia,19.31,98.83,,,Supatpong,Worker
724,CT#724,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Mar,7/3/2003,Thailand,,18.81,98.95,,,Rakkiet,Worker
725,CT#725,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1996.0,Jul,27/7/1996,Thailand,,18.74,98.96,,,Pheerasak,Worker
726,CT#726,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2006.0,Jul,3/7/2006,Thailand,,18.81,98.95,,,Anuchit,Worker
727,CT#727,ACMU,,Alpigenobombus,Bombus breviceps,2008.0,Jul,19/7/2008,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Wilawan,Worker
728,CT#728,ACMU,,Alpigenobombus,Bombus breviceps,2008.0,Jul,17/7/2008,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Wannapha,Worker
729,CT#729,ACMU,,Alpigenobombus,Bombus breviceps,2005.0,Aug,28/8/2005,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Pharadorn,Worker
730,CT#730,ACMU,,Alpigenobombus,Bombus breviceps,2004.0,Nov,9/11/2004,Thailand,Doi Pui,18.82,98.88,,,,Worker
731,CT#731,ACMU,,Alpigenobombus,Bombus breviceps,2003.0,Jun,26/6/2003,Thailand,Chiang Mai University,18.81,98.95,,,Noppamas,Worker
732,CT#732,ACMU,,Alpigenobombus,Bombus breviceps,2003.0,Aug,23/8/2003,Thailand,Khun Chang Khian,18.83874608,98.896522,,,Narongwich,Worker
733,CT#733,ACMU,,Alpigenobombus,Bombus breviceps,2001.0,Jul,22/7/2001,Thailand,,,,,,Kulsuda,Worker
734,CT#734,ACMU,,Alpigenobombus,Bombus breviceps,2002.0,Sep,22/9/2002,Thailand,Chiang Mai University,18.81,98.95,,,Yutthana,Worker
735,CT#735,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2005.0,Aug,31/8/2005,Thailand,,18.74,98.96,,,Chonticha,Worker
736,CT#736,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Sep,21/9/2002,Thailand,,18.74,98.96,,,Narachon,Worker
737,CT#737,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1998.0,Jul,10/7/1998,Thailand,Chiang Mai University,18.81,98.95,,,mutita,Worker
738,CT#738,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1978.0,Sep,12/9/1978,Thailand,Mae Sa,18.9,98.87,,,Pranom,Worker
739,CT#739,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Aug,2/8/2002,Thailand,,18.74,98.96,,,Satit,Worker
740,CT#740,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Jan,31/1/2003,Thailand,,18.75,99.17,,,Sarinda,Worker
741,CT#741,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1984.0,Aug,31/8/1984,Thailand,Chiang Mai University,18.81,98.95,,,Smith,Worker
742,CT#742,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1984.0,Jul,29/7/1984,Thailand,Chiang Mai University,18.8,98.95,,,Sittichai,Worker
